"","X2019_12_18_14_35_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_19_19_48_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_20_14_15_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_27_12_29_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_29_15_06_Q.Exactive.HF.X.Orbitrap_6070","X2019_12_29_18_18_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_02_17_38_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_11_17_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_16_58_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_03_20_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_04_23_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_10_03_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_04_14_59_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_06_20_17_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_08_16_43_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_09_11_07_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_15_13_56_Q.Exactive.HF.X.Orbitrap_6070","X2020_01_20_15_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_05_20_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_10_15_41_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_11_10_35_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_12_05_06_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_13_00_26_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_13_03_11_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_17_13_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_18_01_25_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_18_18_55_Q.Exactive.HF.X.Orbitrap_6070","X2020_02_28_12_27_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_01_23_00_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_06_16_22_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_07_18_15_Q.Exactive.HF.X.Orbitrap_6070","X2020_03_11_11_25_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_04_11_39_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_15_13_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_18_10_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_12_21_07_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_14_46_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_17_28_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_14_20_11_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_15_10_30_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_20_12_33_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_20_15_35_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_22_14_57_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_22_17_43_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_26_14_20_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_27_13_57_Q.Exactive.HF.X.Orbitrap_6070","X2020_05_28_04_06_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_01_10_22_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_01_15_41_Q.Exactive.HF.X.Orbitrap_6070","X2020_06_02_09_41_Q.Exactive.HF.X.Orbitrap_6070"
"AAAS",28.3492945264626,27.657377878746,28.3521604460981,26.8255374387913,27.4036501194578,27.8912807745029,25.4982619717808,27.3518656876864,27.6197489279111,27.299813095701,27.594343741262,22.6656386562164,24.6159946070408,28.2651264760363,25.7336066494261,26.1674104888447,26.0189253261566,28.7354413669448,28.1569206301003,29.2155829140622,29.1558114767042,29.2549611578001,29.605637223052,27.711616145386,28.4351558256199,26.6912570577515,29.1691848658208,27.7017368894276,27.5958380616431,26.0886324964671,26.8907591194333,27.69889231475,26.1266995896352,27.1375084017951,26.8438591526753,26.8532905163338,26.2026206741053,27.2026580355898,27.4293405869142,27.4939636516101,27.3959101020853,27.7212326215116,27.8075328885551,28.05149531985,27.3245728262225,29.119440216121,30.0802993484974,27.2981530679159,27.1210966535569,29.0378697726419
"AACS",26.1331632262916,25.0186494701576,23.7404684085819,NA,26.9484882577321,26.4810221204953,NA,NA,25.62377256094,NA,27.6122445542966,NA,NA,27.7352476689373,25.4415177156285,NA,23.9346310435584,25.2573147493385,27.4893768682609,27.5565467488932,27.5822613364956,27.3941935322429,27.2861265161387,26.2834618675493,26.6243584042968,25.3309789529022,24.7720318031937,25.9525373998504,25.2574945983783,23.8058737353064,24.5772125927217,26.3444178252343,25.320171426936,25.8749742207044,24.719157749153,25.4208224746059,24.8625896878356,23.8850200706904,25.1542185917757,25.6057184565769,25.5515097279631,24.9159756346348,24.7139247097874,25.6083437204976,26.8004528423529,27.0614697516892,27.3729358477839,NA,NA,25.9891271478811
"AAMDC",NA,24.2362256255101,NA,NA,23.864385672066,26.3475468948584,NA,24.4330714082223,23.5203731363397,25.6603598221881,26.2114483973741,23.0811206070147,NA,27.0554830283262,NA,NA,NA,26.6481479901205,25.8402614075667,25.7972647285722,25.5161703511934,26.0576121932844,26.3765668561875,NA,25.5199534083475,NA,23.8768016924591,24.6485046073615,22.9211799183921,22.7510323906075,25.0524181337383,23.31686154297,NA,NA,25.4597022626727,NA,23.1611103496945,23.2341508350918,23.1420821211246,25.8524096847014,NA,24.124709488469,NA,26.0303165568397,25.5186034549965,25.989062165033,26.7597685370518,23.0023356964452,NA,25.1201673049379
"AAMP",26.7769331630711,26.2707059542438,27.0978823172141,26.2563431769104,26.9816348676305,27.8494179870049,NA,25.2752251107056,27.1355527351802,27.7327919072104,27.911536727468,25.7800913625872,24.7653694716856,28.7330506053849,25.346752584878,26.8768953465888,24.9818525836259,29.1328838655094,28.5941657428359,27.4540324048164,27.2509697361825,27.3478171985075,26.4307447629669,26.7619253167434,26.7457344279321,25.8306716764483,26.1463150920066,26.5824767016154,24.8688187877062,25.7992920971768,26.7399536199803,25.7907678784606,25.8009711714722,25.7224187857963,25.2818890047112,24.5340373270082,24.8217720359998,25.2933018433206,25.125734437854,25.6173966158982,25.7405970770361,26.0780812417003,25.8569983905679,26.3751586456237,25.2040770555197,27.998626408807,27.6008788555266,28.3184657163187,27.968016954765,26.9436902420364
"AAR2",27.2478048393395,27.2106683714579,27.3774111232135,NA,26.5197884817922,26.9169551460962,NA,24.8458938994095,25.9712772591208,26.8965447184643,27.8280220758146,NA,NA,28.1668648238913,25.5730278953833,25.9861349032765,26.2542178314552,28.2105754831315,27.0773479061653,28.9291714798126,28.6819070895689,28.7549995031097,27.8982182114295,28.0058170926712,26.2237245242834,23.9687750565026,27.3527918685493,27.2479858777437,26.8784163747117,24.384361656048,26.8819203313585,27.5225298106668,25.2360431052309,26.5131909742874,25.6558641258288,25.5956815863551,26.8379781864182,26.414658786775,26.0663645007106,24.8574256096339,25.8932150472174,26.7263743005708,25.6927740453993,25.5364108644019,27.2628438364708,28.294432918465,28.0228981629484,NA,26.7071459302548,28.0879550727819
"AARS",32.1949258077983,31.979169664578,32.8845281695682,31.9264169636847,31.8438217223682,32.2737265955684,30.2256148825957,30.9793059736333,31.4153843465884,31.4546403962646,32.2067036913095,30.259008937049,29.997657759782,32.5543067871953,31.1272483548202,31.4499758459955,31.4226199456883,32.7057173092771,32.3829857657281,33.6561890005878,33.4597784659469,33.7926554753196,33.9623219060934,33.848381067034,32.5842343144185,32.7405327442434,32.4325846768918,32.3741492729634,32.0644859452993,30.5503211228609,31.5193929560749,32.387178341115,31.4715512652891,31.3765834151926,30.941956804636,31.0486921550285,31.7138296855904,31.7661976276368,31.9825055345494,32.5618812045177,31.6795517096261,32.3678376587786,32.3937640704617,32.5998552605373,33.1714952176978,34.447699476453,34.6217848497462,31.3981039275194,31.9580228493501,33.22043464349
"AARS2",27.1525755960734,26.5302017537078,27.5145008523124,26.1568820651625,25.3421132000782,NA,NA,NA,25.3596439439262,25.4369196574028,26.2069667904904,NA,NA,25.2921786590362,NA,23.8831563641389,25.2182279744,26.5363663964795,26.1821133377632,27.9844626160716,27.9772190348969,29.1403150361853,28.4318527778108,28.9537699079357,28.0198798052128,26.9668625567969,27.5374924949387,26.9853315786282,26.4957790438087,NA,NA,27.715810791382,26.0956709818059,26.141587204687,26.3035455438188,26.0261424673042,26.388292595598,26.6769403745901,26.5336215561873,27.6928538426858,25.8222098132876,27.0148883270899,27.6191892014091,27.5011963657157,28.1245024391447,29.0876769336479,28.7850028929577,23.9173422114547,NA,27.4554441206527
"AASDHPPT",27.8720877266909,28.1914530360597,28.4756443218775,27.6349184844906,27.4164317336465,27.4040563407869,23.8013412925756,24.8929603811153,25.1190592137809,26.8134778583714,27.2762195584726,NA,24.1740186430019,27.9790197097406,24.365462753815,25.8101467896007,27.0883089905073,28.1027453669759,NA,29.300642393855,29.0282310216614,28.8250217951579,29.4809489565381,29.9583686286679,27.7861876532852,28.2362165000446,28.0551209644976,27.6148439422323,26.6166677413308,24.9110452120013,25.9162718361493,28.1789264854553,27.6268664704815,27.4863108910345,26.4189102045746,26.2426720110476,26.211077009059,26.6345031013002,27.6885918158316,28.1189206425247,27.1580770991329,27.8071029208974,27.1525755960734,28.505707931006,28.3885389504452,30.0149149232432,30.3160285669292,NA,26.2193178813939,28.7585618719681
"AATF",28.602543415295,27.941900852609,28.7708668540015,27.8508490547388,27.4741361770884,28.0810616708617,25.1304162813625,25.3238172907033,25.7500101450883,26.2007513651796,26.386402476223,NA,24.3238172907033,26.7114848659792,26.1787555623996,26.2333939630143,27.1900874940355,28.1679176764192,27.8341848665818,30.1409000805639,29.879833582052,30.0007497784785,30.1804449121613,29.2930079694033,28.410095528723,28.2597946881119,28.534749798338,27.8744349085978,27.8374970474973,25.2158976159015,24.2190408644432,28.6007016616232,26.7546810062894,27.2666909062372,26.8252948059214,27.1301609423214,26.8949270881032,27.4144168523926,27.2327903746573,28.008971811324,27.4119144852095,27.2170632656738,28.0662515740117,27.8455350349225,28.4088006518709,29.8254767843993,29.1138884270856,26.3569439471882,28.1248475048456,28.6756960195619
"ABCB10",26.1102832104996,25.7348989469748,26.7868108207783,25.3460424057551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7955565619964,NA,NA,27.7124691704732,27.3484927361451,28.2093673903345,27.8246880451601,28.1782616709024,26.5115180220819,27.2662440992588,27.9138776994539,26.4357599027113,25.8542897279916,NA,NA,27.5167564735363,24.6404179464294,26.0089397641344,24.9542027014699,25.4236781219768,24.6757296648946,25.154952502708,25.2963510875424,25.8835526032776,25.6285639062791,27.0477045595304,25.9881087468277,25.7787136336199,27.0497829219743,28.3106869679217,29.0021993996084,NA,NA,27.1601948876562
